"emoji","name","keywords","category"
"🙆","person gesturing OK","exercise, gesture, gesturing, hand, OK, omg, person","People & Body"
"🙆‍♂","man gesturing OK","exercise, gesture, gesturing, hand, man, OK, omg","People & Body"
"🙆‍♀","woman gesturing OK","exercise, gesture, gesturing, hand, OK, omg, woman","People & Body"
"💁","person tipping hand","fetch, flick, flip, gossip, hand, person, sarcasm, sarcastic, sassy, seriously, tipping, whatever","People & Body"
"💁‍♂","man tipping hand","fetch, flick, flip, gossip, hand, man, sarcasm, sarcastic, sassy, seriously, tipping, whatever","People & Body"
"💁‍♀","woman tipping hand","fetch, flick, flip, gossip, hand, sarcasm, sarcastic, sassy, seriously, tipping, whatever, woman","People & Body"
"🙋","person raising hand","gesture, hand, here, know, me, person, pick, question, raise, raising","People & Body"
"🙋‍♂","man raising hand","gesture, hand, here, know, man, me, pick, question, raise, raising","People & Body"
"🙋‍♀","woman raising hand","gesture, hand, here, know, me, pick, question, raise, raising, woman","People & Body"
"🧏","deaf person","accessibility, deaf, ear, gesture, hear, person","People & Body"
"🧏‍♂","deaf man","accessibility, deaf, ear, gesture, hear, man","People & Body"
"🧏‍♀","deaf woman","accessibility, deaf, ear, gesture, hear, woman","People & Body"
"🙇","person bowing","apology, ask, beg, bow, bowing, favor, forgive, gesture, meditate, meditation, person, pity, regret, sorry","People & Body"
"🙇‍♂","man bowing","apology, ask, beg, bow, bowing, favor, forgive, gesture, man, meditate, meditation, pity, regret, sorry","People & Body"
"🙇‍♀","woman bowing","apology, ask, beg, bow, bowing, favor, forgive, gesture, meditate, meditation, pity, regret, sorry, woman","People & Body"
"🤦","person facepalming","again, bewilder, disbelief, exasperation, facepalm, no, not, oh, omg, person, shock, smh","People & Body"
"🤦‍♂","man facepalming","again, bewilder, disbelief, exasperation, facepalm, man, no, not, oh, omg, shock, smh","People & Body"
"🤦‍♀","woman facepalming","again, bewilder, disbelief, exasperation, facepalm, no, not, oh, omg, shock, smh, woman","People & Body"
"🤷","person shrugging","doubt, dunno, guess, idk, ignorance, indifference, knows, maybe, person, shrug, shrugging, whatever, who","People & Body"
"🤷‍♂","man shrugging","doubt, dunno, guess, idk, ignorance, indifference, knows, man, maybe, shrug, shrugging, whatever, who","People & Body"
"🤷‍♀","woman shrugging","doubt, dunno, guess, idk, ignorance, indifference, knows, maybe, shrug, shrugging, whatever, who, woman","People & Body"
"🧑‍⚕","health worker","doctor, health, healthcare, nurse, therapist, worker","People & Body"
"👨‍⚕","man health worker","doctor, health, healthcare, man, nurse, therapist, worker","People & Body"
"👩‍⚕","woman health worker","doctor, health, healthcare, nurse, therapist, woman, worker","People & Body"
"🧑‍🎓","student","graduate, student","People & Body"
"👨‍🎓","man student","graduate, man, student","People & Body"
"👩‍🎓","woman student","graduate, student, woman","People & Body"
"🧑‍🏫","teacher","instructor, lecturer, professor, teacher","People & Body"
"👨‍🏫","man teacher","instructor, lecturer, man, professor, teacher","People & Body"
"👩‍🏫","woman teacher","instructor, lecturer, professor, teacher, woman","People & Body"
"🧑‍⚖","judge","judge, justice, law, scales","People & Body"
"👨‍⚖","man judge","judge, justice, law, man, scales","People & Body"
"👩‍⚖","woman judge","judge, justice, law, scales, woman","People & Body"
"🧑‍🌾","farmer","farmer, gardener, rancher","People & Body"
"👨‍🌾","man farmer","farmer, gardener, man, rancher","People & Body"
"👩‍🌾","woman farmer","farmer, gardener, rancher, woman","People & Body"
"🧑‍🍳","cook","chef, cook","People & Body"
"👨‍🍳","man cook","chef, cook, man","People & Body"
"👩‍🍳","woman cook","chef, cook, woman","People & Body"
"🧑‍🔧","mechanic","electrician, mechanic, plumber, tradesperson","People & Body"
"👨‍🔧","man mechanic","electrician, man, mechanic, plumber, tradesperson","People & Body"
"👩‍🔧","woman mechanic","electrician, mechanic, plumber, tradesperson, woman","People & Body"
"🧑‍🏭","factory worker","assembly, factory, industrial, worker","People & Body"
"👨‍🏭","man factory worker","assembly, factory, industrial, man, worker","People & Body"
"👩‍🏭","woman factory worker","assembly, factory, industrial, woman, worker","People & Body"
"🧑‍💼","office worker","architect, business, manager, office, white-collar, worker","People & Body"
"👨‍💼","man office worker","architect, business, man, manager, office, white-collar, worker","People & Body"
"👩‍💼","woman office worker","architect, business, manager, office, white-collar, woman, worker","People & Body"
"🧑‍🔬","scientist","biologist, chemist, engineer, mathematician, physicist, scientist","People & Body"
"👨‍🔬","man scientist","biologist, chemist, engineer, man, mathematician, physicist, scientist","People & Body"
"👩‍🔬","woman scientist","biologist, chemist, engineer, mathematician, physicist, scientist, woman","People & Body"
"🧑‍💻","technologist","coder, computer, developer, inventor, software, technologist","People & Body"
"👨‍💻","man technologist","coder, computer, developer, inventor, man, software, technologist","People & Body"
"👩‍💻","woman technologist","coder, computer, developer, inventor, software, technologist, woman","People & Body"
"🧑‍🎤","singer","actor, entertainer, rock, rockstar, singer, star","People & Body"
"👨‍🎤","man singer","actor, entertainer, man, rock, rockstar, singer, star","People & Body"
"👩‍🎤","woman singer","actor, entertainer, rock, rockstar, singer, star, woman","People & Body"
"🧑‍🎨","artist","artist, palette","People & Body"
"👨‍🎨","man artist","artist, man, palette","People & Body"
"👩‍🎨","woman artist","artist, palette, woman","People & Body"
"🧑‍✈","pilot","pilot, plane","People & Body"
"👨‍✈","man pilot","man, pilot, plane","People & Body"
"👩‍✈","woman pilot","pilot, plane, woman","People & Body"
"🧑‍🚀","astronaut","astronaut, rocket, space","People & Body"
"👨‍🚀","man astronaut","astronaut, man, rocket, space","People & Body"
"👩‍🚀","woman astronaut","astronaut, rocket, space, woman","People & Body"
"🧑‍🚒","firefighter","fire, firefighter, firetruck","People & Body"
"👨‍🚒","man firefighter","fire, firefighter, firetruck, man","People & Body"
"👩‍🚒","woman firefighter","fire, firefighter, firetruck, woman","People & Body"
"👮","police officer","apprehend, arrest, citation, cop, law, officer, over, police, pulled, undercover","People & Body"
"👮‍♂","man police officer","apprehend, arrest, citation, cop, law, man, officer, over, police, pulled, undercover","People & Body"
"👮‍♀","woman police officer","apprehend, arrest, citation, cop, law, officer, over, police, pulled, undercover, woman","People & Body"
"🕵","detective","detective, sleuth, spy","People & Body"
"🕵‍♂","man detective","detective, man, sleuth, spy","People & Body"
"🕵‍♀","woman detective","detective, sleuth, spy, woman","People & Body"
"💂","guard","buckingham, guard, helmet, london, palace","People & Body"
"💂‍♂","man guard","buckingham, guard, helmet, london, man, palace","People & Body"
"💂‍♀","woman guard","buckingham, guard, helmet, london, palace, woman","People & Body"
"🥷","ninja","assassin, fight, fighter, hidden, ninja, person, secret, skills, sly, soldier, stealth, war","People & Body"
"👷","construction worker","build, construction, fix, hardhat, hat, man, person, rebuild, remodel, repair, work, worker","People & Body"
"👷‍♂","man construction worker","build, construction, fix, hardhat, hat, man, rebuild, remodel, repair, work, worker","People & Body"
"👷‍♀","woman construction worker","build, construction, fix, hardhat, hat, man, rebuild, remodel, repair, woman, work, worker","People & Body"
"🫅","person with crown","crown, monarch, noble, person, regal, royal, royalty","People & Body"
"🤴","prince","crown, fairy, fairytale, fantasy, king, prince, royal, royalty, tale","People & Body"
"👸","princess","crown, fairy, fairytale, fantasy, princess, queen, royal, royalty, tale","People & Body"
"👳","person wearing turban","person, turban, wearing","People & Body"
"👳‍♂","man wearing turban","man, turban, wearing","People & Body"
"👳‍♀","woman wearing turban","turban, wearing, woman","People & Body"
"👲","person with skullcap","cap, Chinese, gua, guapi, hat, mao, person, pi, skullcap","People & Body"
"🧕","woman with headscarf","bandana, head, headscarf, hijab, kerchief, mantilla, tichel, woman","People & Body"
"🤵","person in tuxedo","formal, person, tuxedo, wedding","People & Body"
"🤵‍♂","man in tuxedo","formal, groom, man, tuxedo, wedding","People & Body"
"🤵‍♀","woman in tuxedo","formal, tuxedo, wedding, woman","People & Body"
"👰","person with veil","person, veil, wedding","People & Body"
"👰‍♂","man with veil","man, veil, wedding","People & Body"
"👰‍♀","woman with veil","bride, veil, wedding, woman","People & Body"
"🤰","pregnant woman","pregnant, woman","People & Body"
"🫃","pregnant man","belly, bloated, full, man, overeat, pregnant","People & Body"
"🫄","pregnant person","belly, bloated, full, overeat, person, pregnant, stuffed","People & Body"
"🤱","breast-feeding","baby, breast, breast-feeding, feeding, mom, mother, nursing, woman","People & Body"
"👩‍🍼","woman feeding baby","baby, feed, feeding, mom, mother, nanny, newborn, nursing, woman","People & Body"
"👨‍🍼","man feeding baby","baby, dad, father, feed, feeding, man, nanny, newborn, nursing","People & Body"
"🧑‍🍼","person feeding baby","baby, feed, feeding, nanny, newborn, nursing, parent","People & Body"
"👼","baby angel","angel, baby, church, face, fairy, fairytale, fantasy, tale","People & Body"
"🎅","Santa Claus","celebration, Christmas, claus, fairy, fantasy, father, holiday, merry, santa, tale, xmas","People & Body"
"🤶","Mrs. Claus","celebration, Christmas, claus, fairy, fantasy, holiday, merry, mother, Mrs, santa, tale, xmas","People & Body"
"🧑‍🎄","Mx Claus","celebration, Christmas, claus, fairy, fantasy, holiday, merry, Mx, santa, tale, xmas","People & Body"
"🦸","superhero","good, hero, superhero, superpower","People & Body"
"🦸‍♂","man superhero","good, hero, man, superhero, superpower","People & Body"
"🦸‍♀","woman superhero","good, hero, heroine, superhero, superpower, woman","People & Body"
"🦹","supervillain","bad, criminal, evil, superpower, supervillain, villain","People & Body"
"🦹‍♂","man supervillain","bad, criminal, evil, man, superpower, supervillain, villain","People & Body"
"🦹‍♀","woman supervillain","bad, criminal, evil, superpower, supervillain, villain, woman","People & Body"
"🧙","mage","fantasy, mage, magic, play, sorcerer, sorceress, sorcery, spell, summon, witch, wizard","People & Body"
"🧙‍♂","man mage","fantasy, mage, magic, man, play, sorcerer, sorceress, sorcery, spell, summon, witch, wizard","People & Body"
"🧙‍♀","woman mage","fantasy, mage, magic, play, sorcerer, sorceress, sorcery, spell, summon, witch, wizard, woman","People & Body"
"🧚","fairy","fairy, fairytale, fantasy, myth, person, pixie, tale, wings","People & Body"
"🧚‍♂","man fairy","fairy, fairytale, fantasy, man, myth, Oberon, person, pixie, Puck, tale, wings","People & Body"
"🧚‍♀","woman fairy","fairy, fairytale, fantasy, myth, person, pixie, tale, Titania, wings, woman","People & Body"
"🧛","vampire","blood, Dracula, fangs, halloween, scary, supernatural, teeth, undead, vampire","People & Body"
"🧛‍♂","man vampire","blood, fangs, halloween, man, scary, supernatural, teeth, undead, vampire","People & Body"
"🧛‍♀","woman vampire","blood, fangs, halloween, scary, supernatural, teeth, undead, vampire, woman","People & Body"
"🧜","merperson","creature, fairytale, folklore, merperson, ocean, sea, siren, trident","People & Body"
"🧜‍♂","merman","creature, fairytale, folklore, merman, Neptune, ocean, Poseidon, sea, siren, trident, Triton","People & Body"
"🧜‍♀","mermaid","creature, fairytale, folklore, mermaid, merwoman, ocean, sea, siren, trident","People & Body"
"🧝","elf","elf, elves, enchantment, fantasy, folklore, magic, magical, myth","People & Body"
"🧝‍♂","man elf","elf, elves, enchantment, fantasy, folklore, magic, magical, man, myth","People & Body"
"🧝‍♀","woman elf","elf, elves, enchantment, fantasy, folklore, magic, magical, myth, woman","People & Body"
"🧞","genie","djinn, fantasy, genie, jinn, lamp, myth, rub, wishes","People & Body"
"🧞‍♂","man genie","djinn, fantasy, genie, jinn, lamp, man, myth, rub, wishes","People & Body"
"🧞‍♀","woman genie","djinn, fantasy, genie, jinn, lamp, myth, rub, wishes, woman","People & Body"
"🧟","zombie","apocalypse, dead, halloween, horror, scary, undead, walking, zombie","People & Body"
"🧟‍♂","man zombie","apocalypse, dead, halloween, horror, man, scary, undead, walking, zombie","People & Body"
"🧟‍♀","woman zombie","apocalypse, dead, halloween, horror, scary, undead, walking, woman, zombie","People & Body"
"🧌","troll","fairy, fantasy, monster, tale, troll, trolling","People & Body"
"💆","person getting massage","face, getting, headache, massage, person, relax, relaxing, salon, soothe, spa, tension, therapy, treatment","People & Body"
"💆‍♂","man getting massage","face, getting, headache, man, massage, relax, relaxing, salon, soothe, spa, tension, therapy, treatment","People & Body"
"💆‍♀","woman getting massage","face, getting, headache, massage, relax, relaxing, salon, soothe, spa, tension, therapy, treatment, woman","People & Body"
"💇","person getting haircut","barber, beauty, chop, cosmetology, cut, groom, hair, haircut, parlor, person, shears, style","People & Body"
"💇‍♂","man getting haircut","barber, beauty, chop, cosmetology, cut, groom, hair, haircut, man, parlor, person, shears, style","People & Body"
"💇‍♀","woman getting haircut","barber, beauty, chop, cosmetology, cut, groom, hair, haircut, parlor, person, shears, style, woman","People & Body"
"🚶","person walking","amble, gait, hike, man, pace, pedestrian, person, stride, stroll, walk, walking","People & Body"
"🚶‍♂","man walking","amble, gait, hike, man, pace, pedestrian, stride, stroll, walk, walking","People & Body"
"🚶‍♀","woman walking","amble, gait, hike, man, pace, pedestrian, stride, stroll, walk, walking, woman","People & Body"
"🧍","person standing","person, stand, standing","People & Body"
"🧍‍♂","man standing","man, stand, standing","People & Body"
"🧍‍♀","woman standing","stand, standing, woman","People & Body"
"🧎","person kneeling","kneel, kneeling, knees, person","People & Body"
"🧎‍♂","man kneeling","kneel, kneeling, knees, man","People & Body"
"🧎‍♀","woman kneeling","kneel, kneeling, knees, woman","People & Body"
"🧑‍🦯","person with white cane","accessibility, blind, cane, person, probing, white","People & Body"
"👨‍🦯","man with white cane","accessibility, blind, cane, man, probing, white","People & Body"
"👩‍🦯","woman with white cane","accessibility, blind, cane, probing, white, woman","People & Body"
"🧑‍🦼","person in motorized wheelchair","accessibility, motorized, person, wheelchair","People & Body"
"👨‍🦼","man in motorized wheelchair","accessibility, man, motorized, wheelchair","People & Body"
"👩‍🦼","woman in motorized wheelchair","accessibility, motorized, wheelchair, woman","People & Body"
"🧑‍🦽","person in manual wheelchair","accessibility, manual, person, wheelchair","People & Body"
"👨‍🦽","man in manual wheelchair","accessibility, man, manual, wheelchair","People & Body"
"👩‍🦽","woman in manual wheelchair","accessibility, manual, wheelchair, woman","People & Body"
"🏃","person running","fast, hurry, marathon, move, person, quick, race, racing, run, rush, speed","People & Body"
"🏃‍♂","man running","fast, hurry, man, marathon, move, quick, race, racing, run, rush, speed","People & Body"
"🏃‍♀","woman running","fast, hurry, marathon, move, quick, race, racing, run, rush, speed, woman","People & Body"
"💃","woman dancing","dance, dancer, dancing, elegant, festive, flair, flamenco, groove, let’s, salsa, tango, woman","People & Body"
"🕺","man dancing","dance, dancer, dancing, elegant, festive, flair, flamenco, groove, let’s, man, salsa, tango","People & Body"
"🕴","person in suit levitating","business, levitating, person, suit","People & Body"
"👯","people with bunny ears","bestie, bff, bunny, counterpart, dancer, double, ear, identical, pair, party, partying, people, soulmate, twin, twinsies","People & Body"
"👯‍♂","men with bunny ears","bestie, bff, bunny, counterpart, dancer, double, ear, identical, men, pair, party, partying, people, soulmate, twin, twinsies","People & Body"
"👯‍♀","women with bunny ears","bestie, bff, bunny, counterpart, dancer, double, ear, identical, pair, party, partying, people, soulmate, twin, twinsies, women","People & Body"
"🧖","person in steamy room","day, luxurious, pamper, person, relax, room, sauna, spa, steam, steambath, unwind","People & Body"
"🧖‍♂","man in steamy room","day, luxurious, man, pamper, relax, room, sauna, spa, steam, steambath, unwind","People & Body"
"🧖‍♀","woman in steamy room","day, luxurious, pamper, relax, room, sauna, spa, steam, steambath, unwind, woman","People & Body"
"🧗","person climbing","climb, climber, climbing, mountain, person, rock, scale, up","People & Body"
"🧗‍♂","man climbing","climb, climber, climbing, man, mountain, rock, scale, up","People & Body"
"🧗‍♀","woman climbing","climb, climber, climbing, mountain, rock, scale, up, woman","People & Body"
"🤺","person fencing","fencer, fencing, person, sword","People & Body"
"🏇","horse racing","horse, jockey, racehorse, racing, riding, sport","People & Body"
"⛷","skier","ski, skier, snow","People & Body"
"🏂","snowboarder","ski, snow, snowboard, snowboarder, sport","People & Body"
"🏌","person golfing","ball, birdie, caddy, driving, golf, golfing, green, person, pga, putt, range, tee","People & Body"
"🏌‍♂","man golfing","ball, birdie, caddy, driving, golf, golfing, green, man, pga, putt, range, tee","People & Body"
"🏌‍♀","woman golfing","ball, birdie, caddy, driving, golf, golfing, green, pga, putt, range, tee, woman","People & Body"
"🏄","person surfing","beach, ocean, person, sport, surf, surfer, surfing, swell, waves","People & Body"
"🏄‍♂","man surfing","beach, man, ocean, sport, surf, surfer, surfing, swell, waves","People & Body"
"🏄‍♀","woman surfing","beach, ocean, person, sport, surf, surfer, surfing, swell, waves","People & Body"
"🚣","person rowing boat","boat, canoe, cruise, fishing, lake, oar, paddle, person, raft, river, row, rowboat, rowing","People & Body"
"🚣‍♂","man rowing boat","boat, canoe, cruise, fishing, lake, man, oar, paddle, raft, river, row, rowboat, rowing","People & Body"
"🚣‍♀","woman rowing boat","boat, canoe, cruise, fishing, lake, oar, paddle, raft, river, row, rowboat, rowing, woman","People & Body"
"🏊","person swimming","freestyle, person, sport, swim, swimmer, swimming, triathlon","People & Body"
"🏊‍♂","man swimming","freestyle, man, sport, swim, swimmer, swimming, triathlon","People & Body"
"🏊‍♀","woman swimming","freestyle, man, sport, swim, swimmer, swimming, triathlon","People & Body"
"⛹","person bouncing ball","athletic, ball, basketball, bouncing, championship, dribble, net, person, player, throw","People & Body"
"⛹‍♂","man bouncing ball","athletic, ball, basketball, bouncing, championship, dribble, man, net, player, throw","People & Body"
"⛹‍♀","woman bouncing ball","athletic, ball, basketball, bouncing, championship, dribble, net, player, throw, woman","People & Body"
"🏋","person lifting weights","barbell, bodybuilder, deadlift, lifter, lifting, person, powerlifting, weight, weightlifter, weights, workout","People & Body"
"🏋‍♂","man lifting weights","barbell, bodybuilder, deadlift, lifter, lifting, man, powerlifting, weight, weightlifter, weights, workout","People & Body"
"🏋‍♀","woman lifting weights","barbell, bodybuilder, deadlift, lifter, lifting, powerlifting, weight, weightlifter, weights, woman, workout","People & Body"
"🚴","person biking","bicycle, bicyclist, bike, biking, cycle, cyclist, person, riding, sport","People & Body"
"🚴‍♂","man biking","bicycle, bicyclist, bike, biking, cycle, cyclist, man, riding, sport","People & Body"
"🚴‍♀","woman biking","bicycle, bicyclist, bike, biking, cycle, cyclist, riding, sport, woman","People & Body"
"🚵","person mountain biking","bicycle, bicyclist, bike, biking, cycle, cyclist, mountain, person, riding, sport","People & Body"
"🚵‍♂","man mountain biking","bicycle, bicyclist, bike, biking, cycle, cyclist, man, mountain, riding, sport","People & Body"
"🚵‍♀","woman mountain biking","bicycle, bicyclist, bike, biking, cycle, cyclist, mountain, riding, sport, woman","People & Body"
"🤸","person cartwheeling","active, cartwheel, cartwheeling, excited, flip, gymnastics, happy, person, somersault","People & Body"
"🤸‍♂","man cartwheeling","active, cartwheel, cartwheeling, excited, flip, gymnastics, happy, man, somersault","People & Body"
"🤸‍♀","woman cartwheeling","active, cartwheel, cartwheeling, excited, flip, gymnastics, happy, somersault, woman","People & Body"
"🤼","people wrestling","combat, duel, grapple, people, ring, tournament, wrestle, wrestling","People & Body"
"🤼‍♂","men wrestling","combat, duel, grapple, men, ring, tournament, wrestle, wrestling","People & Body"
"🤼‍♀","women wrestling","combat, duel, grapple, ring, tournament, women, wrestle, wrestling","People & Body"
"🤽","person playing water polo","person, playing, polo, sport, swimming, water, waterpolo","People & Body"
"🤽‍♂","man playing water polo","man, playing, polo, sport, swimming, water, waterpolo","People & Body"
"🤽‍♀","woman playing water polo","playing, polo, sport, swimming, water, waterpolo, woman","People & Body"
"🤾","person playing handball","athletics, ball, catch, chuck, handball, hurl, lob, person, pitch, playing, sport, throw, toss","People & Body"
"🤾‍♂","man playing handball","athletics, ball, catch, chuck, handball, hurl, lob, man, pitch, playing, sport, throw, toss","People & Body"
"🤾‍♀","woman playing handball","athletics, ball, catch, chuck, handball, hurl, lob, pitch, playing, sport, throw, toss, woman","People & Body"
"🤹","person juggling","act, balance, balancing, handle, juggle, juggling, manage, multitask, person, skill","People & Body"
"🤹‍♂","man juggling","act, balance, balancing, handle, juggle, juggling, man, manage, multitask, skill","People & Body"
"🤹‍♀","woman juggling","act, balance, balancing, handle, juggle, juggling, manage, multitask, skill, woman","People & Body"
"🧘","person in lotus position","cross, legged, legs, lotus, meditation, peace, person, position, relax, serenity, yoga, yogi, zen","People & Body"
"🧘‍♂","man in lotus position","cross, legged, legs, lotus, man, meditation, peace, position, relax, serenity, yoga, yogi, zen","People & Body"
"🧘‍♀","woman in lotus position","cross, legged, legs, lotus, meditation, peace, position, relax, serenity, woman, yoga, yogi, zen","People & Body"
"🛀","person taking bath","bath, bathtub, person, taking, tub","People & Body"
"🛌","person in bed","bed, bedtime, good, goodnight, hotel, nap, night, person, sleep, tired, zzz","People & Body"
"🧑‍🤝‍🧑","people holding hands","bae, bestie, bff, couple, dating, flirt, friends, hand, hold, people, twins","People & Body"
"👭","women holding hands","bae, bestie, bff, couple, dating, flirt, friends, girls, hand, hold, sisters, twins, women","People & Body"
"👫","woman and man holding hands","bae, bestie, bff, couple, dating, flirt, friends, hand, hold, man, twins, woman","People & Body"
"👬","men holding hands","bae, bestie, bff, boys, brothers, couple, dating, flirt, friends, hand, hold, men, twins","People & Body"
"💏","kiss","anniversary, babe, bae, couple, date, dating, heart, kiss, love, mwah, person, romance, together, xoxo","People & Body"
"💑","couple with heart","anniversary, babe, bae, couple, dating, heart, kiss, love, person, relationship, romance, together, you","People & Body"
"🗣","speaking head","face, head, silhouette, speak, speaking","People & Body"
"👤","bust in silhouette","bust, mysterious, shadow, silhouette","People & Body"
"👥","busts in silhouette","bff, bust, busts, everyone, friend, friends, people, silhouette","People & Body"
"🫂","people hugging","comfort, embrace, farewell, friendship, goodbye, hello, hug, hugging, love, people, thanks","People & Body"
"👪","family","child, family","People & Body"
"🧑‍🧑‍🧒","family: adult, adult, child","adult, child, family","People & Body"
"🧑‍🧑‍🧒‍🧒","family: adult, adult, child, child","adult, child, family","People & Body"
"🧑‍🧒","family: adult, child","adult, child, family","People & Body"
"🧑‍🧒‍🧒","family: adult, child, child","adult, child, family","People & Body"
"👣","footprints","barefoot, clothing, footprint, footprints, omw, print, walk","People & Body"
"🫆","fingerprint","clue, crime, detective, fingerprint, forensics, identity, mystery, print, safety, trace","People & Body"
"🦰","red hair","ginger, hair, red, redhead","Component"
"🦱","curly hair","afro, curly, hair, ringlets","Component"
"🦳","white hair","gray, hair, old, white","Component"
"🦲","bald","bald, chemotherapy, hair, hairless, no, shaven","Component"
"🐵","monkey face","animal, banana, face, monkey","Animals & Nature"
"🐒","monkey","animal, banana, monkey","Animals & Nature"
"🦍","gorilla","animal, gorilla","Animals & Nature"
"🦧","orangutan","animal, ape, monkey, orangutan","Animals & Nature"
"🐶","dog face","adorbs, animal, dog, face, pet, puppies, puppy","Animals & Nature"
"🐕","dog","animal, animals, dog, dogs, pet","Animals & Nature"
"🦮","guide dog","accessibility, animal, blind, dog, guide","Animals & Nature"
"🐕‍🦺","service dog","accessibility, animal, assistance, dog, service","Animals & Nature"
"🐩","poodle","animal, dog, fluffy, poodle","Animals & Nature"
"🐺","wolf","animal, face, wolf","Animals & Nature"
"🦊","fox","animal, face, fox","Animals & Nature"
"🦝","raccoon","animal, curious, raccoon, sly","Animals & Nature"
"🐱","cat face","animal, cat, face, kitten, kitty, pet","Animals & Nature"
"🐈","cat","animal, animals, cat, cats, kitten, pet","Animals & Nature"
"🐈‍⬛","black cat","animal, black, cat, feline, halloween, meow, unlucky","Animals & Nature"
"🦁","lion","alpha, animal, face, Leo, lion, mane, order, rawr, roar, safari, strong, zodiac","Animals & Nature"
"🐯","tiger face","animal, big, cat, face, predator, tiger","Animals & Nature"
"🐅","tiger","animal, big, cat, predator, tiger, zoo","Animals & Nature"
"🐆","leopard","animal, big, cat, leopard, predator, zoo","Animals & Nature"
"🐴","horse face","animal, dressage, equine, face, farm, horse, horses","Animals & Nature"
"🫎","moose","alces, animal, antlers, elk, mammal, moose","Animals & Nature"
"🫏","donkey","animal, ass, burro, donkey, hinny, mammal, mule, stubborn","Animals & Nature"
"🐎","horse","animal, equestrian, farm, horse, racehorse, racing","Animals & Nature"
"🦄","unicorn","face, unicorn","Animals & Nature"
"🦓","zebra","animal, stripe, zebra","Animals & Nature"
"🦌","deer","animal, deer","Animals & Nature"
"🦬","bison","animal, bison, buffalo, herd, wisent","Animals & Nature"
"🐮","cow face","animal, cow, face, farm, milk, moo","Animals & Nature"
"🐂","ox","animal, animals, bull, farm, ox, Taurus, zodiac","Animals & Nature"
"🐃","water buffalo","animal, buffalo, water, zoo","Animals & Nature"
"🐄","cow","animal, animals, cow, farm, milk, moo","Animals & Nature"
"🐷","pig face","animal, bacon, face, farm, pig, pork","Animals & Nature"
"🐖","pig","animal, bacon, farm, pig, pork, sow","Animals & Nature"
"🐗","boar","animal, boar, pig","Animals & Nature"
"🐽","pig nose","animal, face, farm, nose, pig, smell, snout","Animals & Nature"
"🐏","ram","animal, Aries, horns, male, ram, sheep, zodiac, zoo","Animals & Nature"
"🐑","ewe","animal, baa, ewe, farm, female, fluffy, lamb, sheep, wool","Animals & Nature"
"🐐","goat","animal, Capricorn, farm, goat, milk, zodiac","Animals & Nature"
"🐪","camel","animal, camel, desert, dromedary, hump, one","Animals & Nature"
"🐫","two-hump camel","animal, bactrian, camel, desert, hump, two, two-hump","Animals & Nature"
"🦙","llama","alpaca, animal, guanaco, llama, vicuña, wool","Animals & Nature"
"🦒","giraffe","animal, giraffe, spots","Animals & Nature"
"🐘","elephant","animal, elephant","Animals & Nature"
"🦣","mammoth","animal, extinction, large, mammoth, tusk, wooly","Animals & Nature"
"🦏","rhinoceros","animal, rhinoceros","Animals & Nature"
"🦛","hippopotamus","animal, hippo, hippopotamus","Animals & Nature"
"🐭","mouse face","animal, face, mouse","Animals & Nature"
"🐁","mouse","animal, animals, mouse","Animals & Nature"
"🐀","rat","animal, rat","Animals & Nature"
"🐹","hamster","animal, face, hamster, pet","Animals & Nature"
"🐰","rabbit face","animal, bunny, face, pet, rabbit","Animals & Nature"
"🐇","rabbit","animal, bunny, pet, rabbit","Animals & Nature"
"🐿","chipmunk","animal, chipmunk, squirrel","Animals & Nature"
"🦫","beaver","animal, beaver, dam, teeth","Animals & Nature"
"🦔","hedgehog","animal, hedgehog, spiny","Animals & Nature"
"🦇","bat","animal, bat, vampire","Animals & Nature"
"🐻","bear","animal, bear, face, grizzly, growl, honey","Animals & Nature"
"🐻‍❄","polar bear","animal, arctic, bear, polar, white","Animals & Nature"
"🐨","koala","animal, australia, bear, down, face, koala, marsupial, under","Animals & Nature"
"🐼","panda","animal, bamboo, face, panda","Animals & Nature"
"🦥","sloth","lazy, sloth, slow","Animals & Nature"
"🦦","otter","animal, fishing, otter, playful","Animals & Nature"
"🦨","skunk","animal, skunk, stink","Animals & Nature"
"🦘","kangaroo","animal, joey, jump, kangaroo, marsupial","Animals & Nature"
"🦡","badger","animal, badger, honey, pester","Animals & Nature"
"🐾","paw prints","feet, paw, paws, print, prints","Animals & Nature"
"🦃","turkey","bird, gobble, thanksgiving, turkey","Animals & Nature"
"🐔","chicken","animal, bird, chicken, ornithology","Animals & Nature"
"🐓","rooster","animal, bird, ornithology, rooster","Animals & Nature"
"🐣","hatching chick","animal, baby, bird, chick, egg, hatching","Animals & Nature"
"🐤","baby chick","animal, baby, bird, chick, ornithology","Animals & Nature"
"🐥","front-facing baby chick","animal, baby, bird, chick, front-facing, newborn, ornithology","Animals & Nature"
"🐦","bird","animal, bird, ornithology","Animals & Nature"
"🐧","penguin","animal, antarctica, bird, ornithology, penguin","Animals & Nature"
"🕊","dove","bird, dove, fly, ornithology, peace","Animals & Nature"
"🦅","eagle","animal, bird, eagle, ornithology","Animals & Nature"
"🦆","duck","animal, bird, duck, ornithology","Animals & Nature"
"🦢","swan","animal, bird, cygnet, duckling, ornithology, swan, ugly","Animals & Nature"
"🦉","owl","animal, bird, ornithology, owl, wise","Animals & Nature"
